# WR	addr	size	value	memw	fn	member	region
W	0x6000400c	4	?		btdm_gpio_set_level	arch_main.o	GPIO+0xc
R	0x60011004	4	?		r_lld_cca_force_tx	lld_cca.o	BT+0x4
W	0x60011004	4	?		r_lld_cca_force_tx	lld_cca.o	BT+0x4
R	0x60011084	4	?		bb_hw_intr_set	rwble.o	BT+0x84
W	0x60011084	4	?		bb_hw_intr_set	rwble.o	BT+0x84
R	0x6001108c	4	?		r_bt_bb_isr_hack	intc.o	BT+0x8c
W	0x60011090	4	?		r_bt_bb_intr_clear	intc.o	BT+0x90
R	0x60011090	4	?		r_bt_bb_isr_hack	intc.o	BT+0x90
W	0x60011090	4	?		r_bt_bb_isr_hack	intc.o	BT+0x90
R	0x600110b8	4	?		r_lld_cca_set_thresh	lld_cca.o	BT+0xb8
W	0x600110b8	4	?		r_lld_cca_set_thresh	lld_cca.o	BT+0xb8
R	0x600110d4	4	?		btdm_set_cca_fifo_int_cnt	arch_main.o	BT+0xd4
W	0x600110d4	4	?		btdm_set_cca_fifo_int_cnt	arch_main.o	BT+0xd4
R	0x600110d4	4	?		r_cca_init	rwble.o	BT+0xd4
W	0x60011800	4	?		btdm_ble_power_down_dma_copy	arch_main.o	BT+0x800
R	0x60011868	4	?		r_bt_bb_restart_hw_recorrect	intc.o	BT+0x868
W	0x60011868	4	?		r_bt_bb_restart_hw_recorrect	intc.o	BT+0x868
R	0x6001186c	4	?		r_bt_bb_recorrect_is_dead	intc.o	BT+0x86c
R	0x600118fc	4	?		bb_int_init	rwble.o	BT+0x8fc
W	0x600118fc	4	?		bb_int_init	rwble.o	BT+0x8fc
R	0x60026018	4	?		ble_deepsleep_recover_hw_logic	arch_main.o	SYSTIMER+0x3018
W	0x60026018	4	?		ble_deepsleep_recover_hw_logic	arch_main.o	SYSTIMER+0x3018
R	0x60031000	4	?		lld_le_pkt_err_en	lld.o	UART2+0x3000
W	0x60031000	4	?		lld_le_pkt_err_en	lld.o	UART2+0x3000
R	0x6003100c	4	?		btdm_set_cca_sw_intr	arch_main.o	UART2+0x300c
W	0x6003100c	4	?		btdm_set_cca_sw_intr	arch_main.o	UART2+0x300c
W	0x6003100c	4	?		r_rwip_crypt_isr_handler	rwip_driver.o	UART2+0x300c
R	0x60031010	4	?		r_rwble_isr_hack	rwble.o	UART2+0x3010
R	0x60031010	4	?		r_rwble_isr_hack	rwble.o	UART2+0x3010
W	0x60031018	4	?		r_rwble_sleep_enter	rwble.o	UART2+0x3018
W	0x60031018	4	?		r_rwip_isr	rwip_driver.o	UART2+0x3018
R	0x60031018	4	?		r_rwip_isr	rwip_driver.o	UART2+0x3018
R	0x6003101c	4	?		r_rwip_time_get	rwip_driver.o	UART2+0x301c
W	0x6003101c	4	?		r_rwip_time_get	rwip_driver.o	UART2+0x301c
R	0x60031024	4	?		r_lld_update_rxbuf_isr	lld.o	UART2+0x3024
W	0x60031028	4	?		r_bt_rma_configure	rf_multi_antena.o	UART2+0x3028
R	0x60031048	4	?		btdm_enable_scan_continue_impl	lld.o	UART2+0x3048
W	0x60031048	4	?		btdm_enable_scan_continue_impl	lld.o	UART2+0x3048
R	0x60031050	4	?		r_rwble_isr_hack	rwble.o	UART2+0x3050
R	0x6003105d	1	?		r_rwip_timer_10ms_set	rwip_driver.o	UART2+0x305d
R	0x60031060	4	?		r_rwble_isr_hack	rwble.o	UART2+0x3060
R	0x60031074	4	?		r_rf_rw_v9_le_init	bt_rw_v9.o	UART2+0x3074
W	0x60031074	4	?		r_rf_rw_v9_le_init	bt_rw_v9.o	UART2+0x3074
R	0x60031080	4	?		r_rf_rw_v9_le_init	bt_rw_v9.o	UART2+0x3080
W	0x60031080	4	?		r_rf_rw_v9_le_init	bt_rw_v9.o	UART2+0x3080
R	0x60031088	4	?		r_rf_rw_v9_le_init	bt_rw_v9.o	UART2+0x3088
W	0x60031088	4	?		r_rf_rw_v9_le_init	bt_rw_v9.o	UART2+0x3088
R	0x6003108c	4	?		r_rf_rw_v9_le_init	bt_rw_v9.o	UART2+0x308c
W	0x6003108c	4	?		r_rf_rw_v9_le_init	bt_rw_v9.o	UART2+0x308c
W	0x60031090	4	0x200408		r_lld_reset_reg	lld.o	UART2+0x3090
R	0x60031090	4	?		r_rf_rw_v9_le_init	bt_rw_v9.o	UART2+0x3090
W	0x60031094	4	?		r_lld_reset_reg	lld.o	UART2+0x3094
W	0x600310b8	4	?		rwip_aes_encrypt_sync	rwip_driver.o	UART2+0x30b8
W	0x600310bc	4	?		r_rwip_aes_encrypt	rwip_driver.o	UART2+0x30bc
R	0x600310bc	4	?		rwip_aes_encrypt_sync	rwip_driver.o	UART2+0x30bc
R	0x600310c0	4	?		rwip_aes_encrypt_sync	rwip_driver.o	UART2+0x30c0
W	0x600310c0	4	?		rwip_aes_encrypt_sync	rwip_driver.o	UART2+0x30c0
W	0x600310c4	4	?		r_rwip_aes_encrypt	rwip_driver.o	UART2+0x30c4
W	0x600310e0	4	0x600312d8		r_lld_core_init	lld.o	UART2+0x30e0
W	0x600310e4	4	?		r_rwip_timer_10ms_set	rwip_driver.o	UART2+0x30e4
R	0x600310f8	4	?		r_cali_phase_match_p	bt_rw_v9.o	UART2+0x30f8
W	0x600310f8	4	?		r_cali_phase_match_p	bt_rw_v9.o	UART2+0x30f8
R	0x600310f8	4	?		r_cali_phase_match_p	bt_rw_v9.o	UART2+0x30f8
R	0x60031105	1	?		r_rwip_aes_encrypt	rwip_driver.o	UART2+0x3105
R	0x60031120	4	?		lld_aux_ptr_thr_set	lld.o	UART2+0x3120
W	0x60031120	4	?		lld_aux_ptr_thr_set	lld.o	UART2+0x3120
W	0x60031124	4	0x10001		r_lld_scan_start_eco	lld_scan.o	UART2+0x3124
R	0x60031150	4	?		r_rwip_wlcoex_set	rwip.o	UART2+0x3150
W	0x60031150	4	?		r_rwip_wlcoex_set	rwip.o	UART2+0x3150
W	0x6003115c	4	?		r_rwip_wlcoex_set	rwip.o	UART2+0x315c
R	0x60031204	4	?		r_emi_em_base_deinit	emi.o	UART2+0x3204
W	0x60031210	4	?		r_emi_em_base_init	emi.o	UART2+0x3210
R	0x600312c4	4	?		emi_reset_em_mapping_by_offset	emi.o	UART2+0x32c4
W	0x600312c4	4	?		emi_reset_em_mapping_by_offset	emi.o	UART2+0x32c4
R	0x600312c8	4	?		emi_reset_em_mapping_by_offset	emi.o	UART2+0x32c8
W	0x600312c8	4	?		emi_reset_em_mapping_by_offset	emi.o	UART2+0x32c8
R	0x600312d0	4	?		lld_update_rxbuf_handler	lld.o	UART2+0x32d0
R	0x600312d0	4	?		r_lld_update_rxbuf_isr	lld.o	UART2+0x32d0
W	0x600312d0	4	?		r_lld_update_rxbuf_isr	lld.o	UART2+0x32d0
R	0x600312d8	4	?		r_rwble_isr_hack	rwble.o	UART2+0x32d8
W	0x600312d8	4	?		r_rwble_isr_hack	rwble.o	UART2+0x32d8
R	0x60031304	4	?		btdm_linkbl_filter_init	arch_main.o	UART2+0x3304
W	0x60031304	4	?		btdm_linkbl_filter_init	arch_main.o	UART2+0x3304
R	0x60031360	4	?		r_ble_sw_cca_check_isr	rwble.o	UART2+0x3360
W	0x60031360	4	?		r_btdm_config_cca_sw	arch_main.o	UART2+0x3360
R	0x60031364	4	?		ble_ll_scan_upperlimit_getting	lld_scan.o	UART2+0x3364
W	0x60042000	4	?		btdm_ble_power_down_dma_copy	arch_main.o	LCD_CAM+0x1000
R	0x60042000	4	?		btdm_sleep_clock_sync	arch_main.o	LCD_CAM+0x1000
W	0x60042000	4	?		r_rf_sleep_hack	rf_espressif.o	LCD_CAM+0x1000
R	0x60042004	4	?		btdm_wakeup_request	arch_main.o	LCD_CAM+0x1004
R	0x60042008	4	?		r_rwip_wakeup	rwip_driver.o	LCD_CAM+0x1008
R	0x600c0028	4	?		btdm_lpclk_set_div	arch_main.o	LCD_CAM+0x7f028
W	0x600c0028	4	?		btdm_lpclk_set_div	arch_main.o	LCD_CAM+0x7f028
R	0x600c002c	4	?		btdm_lpclk_select_src	arch_main.o	LCD_CAM+0x7f02c
W	0x600c002c	4	?		btdm_lpclk_select_src	arch_main.o	LCD_CAM+0x7f02c
