0x60000000  UART
0x60002000  SPI1
0x60003000  SPI0
0x60004000  GPIO
0x60005000  FE2
0x60006000  FE
0x60007000  EFUSE
0x60008000  RTCCNTL
0x60008400  RTCIO
0x60008800  SENS
0x60008c00  RTC_I2C
0x60009000  IO_MUX
0x6000b000  HINF
0x6000c000  UHCI1
0x6000f000  I2S
0x60010000  UART1
0x60011000  BT
0x60013000  I2C_EXT
0x60014000  UHCI0
0x60015000  SLCHOST
0x60016000  RMT
0x60017000  PCNT
0x60018000  SLC
0x60019000  LEDC
0x6001cc00  NRX
0x6001d000  BB
0x6001e000  PWM0
0x6001f000  TIMG0
0x60020000  TIMG1
0x60021000  RTC_SLOWMEM
0x60023000  SYSTIMER
0x6002e000  UART2
0x60038000  USB_SERIAL_JTAG
0x6003a000  AES
0x6003c000  RSA
0x6003d000  DIGITAL_SIGNATURE
0x6003e000  HMAC
0x6003f000  GDMA
0x60040000  APB_SARADC
0x60041000  LCD_CAM
0x600c2000  INTERRUPT
