frame,angle_deg
20000,0.4360
20010,0.4316
20020,0.4274
20030,0.4234
20040,0.4195
20050,0.4156
20060,0.4117
20070,0.4077
20080,0.4037
20090,0.3998
20100,0.3960
20110,0.3926
20120,0.3889
20130,0.3850
20140,0.3811
20150,0.3772
20160,0.3731
20170,0.3691
20180,0.3653
20190,0.3615
20200,0.3576
20210,0.3538
20220,0.3478
20230,0.3427
20240,0.3389
20250,0.3351
20260,0.3313
20270,0.3276
20280,0.3239
20290,0.3205
20300,0.3065
20310,0.2982
20320,0.2923
20330,0.2871
20340,0.2826
20350,0.2781
20360,0.2739
20370,0.2698
20380,0.2658
20390,0.2617
20400,0.2577
20410,0.2535
20420,0.2494
20430,0.2456
20440,0.2420
20450,0.2382
20460,0.2342
20470,0.2301
20480,0.2261
20490,0.2220
20500,0.2181
20510,0.2141
20520,0.2101
20530,0.2062
20540,0.2023
20550,0.1979
20560,0.1935
20570,0.1893
20580,0.1854
20590,0.1818
20600,0.1756
20610,0.1677
20620,0.1622
20630,0.1574
20640,0.1529
20650,0.1487
20660,0.1445
20670,0.1404
20680,0.1364
20690,0.1322
20700,0.1280
20710,0.1241
20720,0.1204
20730,0.1164
20740,0.1124
20750,0.1084
20760,0.1044
20770,0.1004
20780,0.0965
20790,0.0929
20800,0.0895
20810,0.0865
20820,0.0835
20830,0.0802
20840,0.0768
20850,0.0733
20860,0.0667
20870,0.0564
20880,0.0502
20890,0.0450
20900,0.0404
20910,0.0361
20920,0.0320
20930,0.0279
20940,0.0238
20950,0.0196
20960,0.0155
20970,0.0114
20980,0.0077
20990,0.0039
21000,0.0000
21010,0.0040
21020,0.0079
21030,0.0120
21040,0.0164
21050,0.0207
21060,0.0247
21070,0.0285
21080,0.0323
21090,0.0363
21100,0.0403
21110,0.0444
21120,0.0516
21130,0.0593
21140,0.0652
21150,0.0699
21160,0.0743
21170,0.0784
21180,0.0825
21190,0.0868
21200,0.0909
21210,0.0950
21220,0.0991
21230,0.1031
21240,0.1072
21250,0.1112
21260,0.1151
21270,0.1187
21280,0.1227
21290,0.1269
21300,0.1309
21310,0.1350
21320,0.1389
21330,0.1424
21340,0.1462
21350,0.1497
21360,0.1533
21370,0.1572
21380,0.1644
21390,0.1702
21400,0.1749
21410,0.1790
21420,0.1832
21430,0.1874
21440,0.1916
21450,0.1957
21460,0.1998
21470,0.2037
21480,0.2075
21490,0.2114
21500,0.2154
21510,0.2194
21520,0.2234
21530,0.2272
21540,0.2312
21550,0.2353
21560,0.2393
21570,0.2434
21580,0.2474
21590,0.2515
21600,0.2556
21610,0.2597
