frame,angle_deg
44000,0.7786
44010,0.7693
44020,0.7600
44030,0.7519
44040,0.7471
44050,0.7440
44060,0.7411
44070,0.7380
44080,0.7325
44090,0.7228
44100,0.7118
44110,0.7007
44120,0.6911
44130,0.6819
44140,0.6731
44150,0.6643
44160,0.6560
44170,0.6499
44180,0.6460
44190,0.6427
44200,0.6379
44210,0.6315
44220,0.6229
44230,0.6112
44240,0.5966
44250,0.5852
44260,0.5768
44270,0.5716
44280,0.5674
44290,0.5630
44300,0.5572
44310,0.5484
44320,0.5367
44330,0.5247
44340,0.5128
44350,0.5027
44360,0.4936
44370,0.4863
44380,0.4812
44390,0.4736
44400,0.4645
44410,0.4549
44420,0.4437
44430,0.4321
44440,0.4214
44450,0.4134
44460,0.4088
44470,0.4052
44480,0.4002
44490,0.3934
44500,0.3877
44510,0.3829
44520,0.3768
44530,0.3700
44540,0.3628
44550,0.3548
44560,0.3450
44570,0.3367
44580,0.3279
44590,0.3187
44600,0.3094
44610,0.3028
44620,0.2975
44630,0.2883
44640,0.2793
44650,0.2722
44660,0.2642
44670,0.2559
44680,0.2490
44690,0.2438
44700,0.2385
44710,0.2328
44720,0.2256
44730,0.2171
44740,0.2071
44750,0.1947
44760,0.1799
44770,0.1685
44780,0.1621
44790,0.1574
44800,0.1498
44810,0.1406
44820,0.1312
44830,0.1203
44840,0.1112
44850,0.1046
44860,0.0987
44870,0.0922
44880,0.0834
44890,0.0731
44900,0.0653
44910,0.0586
44920,0.0524
44930,0.0459
44940,0.0410
44950,0.0386
44960,0.0347
44970,0.0283
44980,0.0213
44990,0.0107
45000,0.0000
45010,0.0106
45020,0.0217
45030,0.0324
45040,0.0431
45050,0.0528
45060,0.0595
45070,0.0649
45080,0.0698
45090,0.0758
45100,0.0821
45110,0.0882
45120,0.0940
45130,0.1019
45140,0.1111
45150,0.1204
45160,0.1303
45170,0.1416
45180,0.1512
45190,0.1545
45200,0.1542
45210,0.1562
45220,0.1626
45230,0.1723
45240,0.1823
45250,0.1928
45260,0.2019
45270,0.2096
45280,0.2139
45290,0.2158
45300,0.2173
45310,0.2211
45320,0.2301
45330,0.2417
45340,0.2539
45350,0.2621
45360,0.2705
45370,0.2790
45380,0.2889
45390,0.2985
45400,0.3063
45410,0.3145
45420,0.3215
45430,0.3290
45440,0.3365
45450,0.3421
45460,0.3441
45470,0.3461
45480,0.3517
45490,0.3585
45500,0.3650
45510,0.3731
45520,0.3836
45530,0.3920
45540,0.3975
45550,0.4036
45560,0.4102
45570,0.4171
45580,0.4234
45590,0.4301
45600,0.4363
45610,0.4438
45620,0.4499
45630,0.4561
45640,0.4656
45650,0.4762
45660,0.4850
45670,0.4925
45680,0.5000
45690,0.5047
45700,0.5069
45710,0.5065
45720,0.5090
45730,0.5141
45740,0.5210
45750,0.5270
45760,0.5333
45770,0.5399
45780,0.5484
45790,0.5581
45800,0.5659
45810,0.5708
45820,0.5744
45830,0.5785
45840,0.5866
45850,0.5948
45860,0.6032
45870,0.6114
45880,0.6184
45890,0.6207
45900,0.6216
45910,0.6261
45920,0.6325
45930,0.6394
45940,0.6456
45950,0.6518
45960,0.6602
45970,0.6695
45980,0.6771
45990,0.6842
46000,0.6896
46010,0.6928
46020,0.6952
46030,0.6972
46040,0.7006
46050,0.7066
46060,0.7144
46070,0.7227
46080,0.7303
46090,0.7366
46100,0.7434
46110,0.7522
46120,0.7605
46130,0.7641
46140,0.7645
46150,0.7672
46160,0.7751
46170,0.7845
46180,0.7950
46190,0.8042
46200,0.8119
46210,0.8179
46220,0.8206
46230,0.8206
46240,0.8208
46250,0.8186
46260,0.8183
46270,0.8208
46280,0.8256
46290,0.8325
46300,0.8411
46310,0.8521
46320,0.8653
46330,0.8780
46340,0.8871
46350,0.8926
46360,0.8956
46370,0.8999
46380,0.9041
46390,0.9086
46400,0.9146
46410,0.9210
46420,0.9278
46430,0.9355
46440,0.9432
46450,0.9495
46460,0.9537
46470,0.9558
46480,0.9585
46490,0.9623
46500,0.9662
46510,0.9726
46520,0.9773
46530,0.9800
46540,0.9819
46550,0.9850
46560,0.9898
46570,0.9943
46580,0.9972
46590,1.0009
46600,1.0041
46610,1.0073
46620,1.0107
46630,1.0166
46640,1.0244
46650,1.0316
46660,1.0366
46670,1.0402
46680,1.0441
46690,1.0497
46700,1.0549
46710,1.0602
46720,1.0651
46730,1.0700
