frame,rgyr,e2e,nhb,i3,i4,iL,bang_mean,bang_rms,tors_mean,alpha_frac,e_morse,e_angle,e_torsion,e_hydro,e_native,thermal,rmsd_native,rmsd_c1,rmsd_c2,rmsd_c3,rmsd_c4
10,9.3373,0.0000,139,51,25,63,95.13,37.84,7.37,0.097,7.6173,34.2593,340.3881,-1.1675,1414.0312,0.0343,11.2856,11.2856,0.0000,0.0000,0.0000
20,9.2767,0.0000,163,56,32,75,93.95,38.25,2.60,0.090,28.7443,35.0526,332.9300,-1.3055,662.7437,0.0676,11.2341,11.2341,0.0000,0.0000,0.0000
30,9.2337,0.0000,185,65,36,84,92.80,38.92,6.10,0.145,40.1931,36.1371,321.1088,-1.4763,320.2555,0.1009,11.1978,11.1978,0.0000,0.0000,0.0000
40,9.2064,0.0000,188,66,40,82,91.87,38.74,2.88,0.179,41.8979,36.2844,314.4809,-1.6102,188.0162,0.1342,11.1754,11.1754,0.0000,0.0000,0.0000
50,9.1882,0.0000,197,69,37,91,91.36,39.07,5.75,0.207,41.1679,36.4230,309.4746,-1.6414,127.3560,0.1675,11.1613,11.1613,0.0000,0.0000,0.0000
60,9.1748,0.0000,207,75,39,93,91.00,39.40,4.87,0.214,40.2578,36.3321,304.9719,-1.6526,93.4212,0.2008,11.1515,11.1515,0.0000,0.0000,0.0000
70,9.1638,0.0000,209,76,40,93,90.67,39.26,10.15,0.214,39.0508,35.9641,303.3412,-1.6610,73.3980,0.2341,11.1437,11.1437,0.0000,0.0000,0.0000
80,9.1545,0.0000,210,77,42,91,90.47,39.36,8.11,0.224,38.5389,35.6148,298.4716,-1.6693,61.4643,0.2674,11.1370,11.1370,0.0000,0.0000,0.0000
90,9.1459,0.0000,217,81,43,93,90.53,39.58,11.33,0.245,37.5354,35.4195,291.0553,-1.6755,52.8266,0.3007,11.1307,11.1306,0.0000,0.0000,0.0000
100,9.1379,0.0000,224,83,46,95,90.67,39.79,10.07,0.262,36.3653,35.2670,286.0752,-1.6831,45.9517,0.3340,11.1249,11.1249,0.0000,0.0000,0.0000
110,9.1307,0.0000,234,80,55,99,90.68,39.70,11.35,0.259,35.4572,35.2944,283.7875,-1.6850,41.1419,0.3673,11.1197,11.1197,0.0000,0.0000,0.0000
120,9.1239,0.0000,232,70,59,103,90.87,39.93,12.23,0.241,35.0471,35.2805,281.8536,-1.6944,37.4190,0.4006,11.1150,11.1150,0.0000,0.0000,0.0000
130,9.1176,0.0000,236,66,64,106,91.05,40.22,8.92,0.259,34.2699,35.0993,278.2931,-1.7052,34.1765,0.4339,11.1106,11.1106,0.0000,0.0000,0.0000
