frame,rgyr,e2e,nhb,i3,i4,iL,bang_mean,bang_rms,tors_mean,alpha_frac,e_morse,e_angle,e_torsion,e_hydro,e_native,thermal,rmsd_native,rmsd_c1,rmsd_c2,rmsd_c3,rmsd_c4
10,9.2145,0.0000,154,51,30,73,93.86,38.40,9.29,0.097,35.8263,36.1233,334.5482,-1.3506,5692.4453,0.0343,11.1848,11.1849,0.0000,0.0000,0.0000
20,9.0053,0.0000,170,54,34,82,90.05,40.11,3.34,0.114,70.5777,40.6479,318.8123,-2.0483,2192.5986,0.0676,11.0136,11.0136,0.0000,0.0000,0.0000
30,8.8788,0.0000,192,60,36,96,89.13,41.58,2.32,0.159,91.8156,43.2064,313.8583,-2.6887,926.8212,0.1009,10.9158,10.9158,0.0000,0.0000,0.0000
40,8.8071,0.0000,197,60,37,100,87.68,41.82,-2.60,0.172,86.1753,44.0796,305.2177,-2.9010,522.2525,0.1342,10.8593,10.8593,0.0000,0.0000,0.0000
50,8.7600,0.0000,202,63,35,104,87.37,41.94,0.77,0.197,82.8691,43.9043,296.4180,-2.9601,344.6588,0.1675,10.8221,10.8221,0.0000,0.0000,0.0000
60,8.7250,0.0000,211,64,36,111,87.21,41.90,-0.23,0.217,81.7021,43.2654,292.8586,-2.9918,251.1422,0.2008,10.7952,10.7952,0.0000,0.0000,0.0000
70,8.6966,0.0000,210,64,36,110,87.10,41.93,0.46,0.210,78.7408,42.7809,293.6942,-3.0336,200.0192,0.2341,10.7739,10.7739,0.0000,0.0000,0.0000
80,8.6720,0.0000,216,66,39,111,87.24,42.16,0.93,0.217,76.6544,42.2887,291.0273,-3.0807,168.1302,0.2674,10.7560,10.7560,0.0000,0.0000,0.0000
90,8.6501,0.0000,222,68,37,117,87.65,42.56,5.52,0.234,74.8837,41.7432,289.7570,-3.1333,145.7154,0.3007,10.7404,10.7404,0.0000,0.0000,0.0000
100,8.6302,0.0000,226,67,37,122,87.88,42.45,6.35,0.238,73.0056,41.3136,288.3030,-3.1788,130.2389,0.3340,10.7265,10.7265,0.0000,0.0000,0.0000
110,8.6121,0.0000,235,63,43,129,87.74,41.84,6.31,0.255,70.8699,41.1225,286.1204,-3.2138,118.8831,0.3673,10.7140,10.7140,0.0000,0.0000,0.0000
120,8.5951,0.0000,239,59,45,135,87.89,42.08,5.75,0.241,69.0447,41.0716,284.3622,-3.2436,109.0601,0.4006,10.7025,10.7025,0.0000,0.0000,0.0000
130,8.5789,0.0000,242,49,55,138,88.21,42.52,4.38,0.255,67.2907,41.0928,282.3235,-3.2714,100.6058,0.4339,10.6916,10.6916,0.0000,0.0000,0.0000
140,8.5634,0.0000,232,37,53,142,88.55,42.98,6.50,0.269,65.7151,41.1295,280.1401,-3.2954,93.3590,0.4672,10.6813,10.6813,0.0000,0.0000,0.0000
150,8.5487,0.0000,234,34,54,146,88.94,43.35,4.80,0.286,64.4589,41.0669,276.2860,-3.3148,87.1552,0.5005,10.6717,10.6717,0.0000,0.0000,0.0000
160,8.5348,0.0000,237,36,52,149,88.96,43.47,4.15,0.283,62.9022,41.0207,275.0517,-3.3271,82.9811,0.5338,10.6628,10.6628,0.0000,0.0000,0.0000
170,8.5214,0.0000,237,41,51,145,89.08,43.70,2.76,0.290,61.9086,41.0942,273.6494,-3.3326,78.1610,0.5671,10.6543,10.6543,0.0000,0.0000,0.0000
180,8.5087,0.0000,235,37,51,147,89.40,43.78,3.88,0.286,61.4735,41.0012,273.0799,-3.3360,73.8482,0.6004,10.6461,10.6461,0.0000,0.0000,0.0000
190,8.4964,0.0000,238,37,52,149,89.72,43.99,4.06,0.286,60.8681,40.9487,272.4075,-3.3388,70.7814,0.6337,10.6381,10.6381,0.0000,0.0000,0.0000
200,8.4848,0.0000,237,38,50,149,90.03,43.88,5.57,0.290,60.0315,41.1414,275.0107,-3.3415,68.8714,0.6670,10.6306,10.6306,0.0000,0.0000,0.0000
210,8.4735,0.0000,230,39,43,148,90.20,43.84,4.32,0.293,59.3469,41.1783,274.0912,-3.3451,67.1072,0.7003,10.6236,10.6236,0.0000,0.0000,0.0000
220,8.4624,0.0000,232,36,36,160,90.08,43.75,6.71,0.300,59.1538,40.9406,272.9020,-3.3299,64.7239,0.7336,10.6167,10.6167,0.0000,0.0000,0.0000
230,8.4539,0.0000,234,40,36,158,90.09,44.11,4.22,0.297,61.9954,41.1147,270.4547,-3.3081,76.8688,0.7669,10.6115,10.6115,0.0000,0.0000,0.0000
